Model,Test Accuracy (%),Improvement
MLP Baseline,87.52400279045105,0.0
MLP Early Stopping,88.41599822044373,0.8919954299926758
CNN Baseline,86.98800206184387,0.0
CNN Early Stopping,87.76800036430359,0.7799983024597168
